shape;keytype;size;elements;set3_bytes;map_bytes;set3_bytes_per_element;map_bytes_per_element;ratio_set3_over_map;set3_build_bytes_per_element;map_build_bytes_per_element;set3_build_mallocs_per_element;map_build_mallocs_per_element;note
presized;uint64;16384;16384;221264;591152;13.5049;36.0811;0.37429;13.505;36.081;0.00018;0.00403;
presized;uint64;2097152;2097152;27459776;75661360;13.0938;36.0781;0.36293;13.094;36.078;0.00000;0.00391;
presized;string;16384;16384;409680;873776;25.0049;53.3311;0.46886;25.005;53.331;0.00018;0.00403;
presized;string;2097152;2097152;51863632;111837232;24.7305;53.3281;0.46374;24.731;53.328;0.00000;0.00391;
presized;struct3x64;16384;16384;606304;1312048;37.0059;80.0811;0.46211;37.006;80.081;0.00024;0.00403;
presized;struct3x64;2097152;2097152;76267840;167936048;36.3673;80.0781;0.45415;36.367;80.078;0.00000;0.00391;
grown;uint64;16384;16384;327760;591152;20.0049;36.0811;0.55444;59.760;72.191;0.00201;0.00891;
grown;uint64;2097152;2097152;27468192;75661360;13.0979;36.0781;0.36304;39.338;72.159;0.00003;0.00783;
grown;string;16384;16384;606288;873776;37.0049;53.3311;0.69387;110.622;106.644;0.00208;0.00891;
grown;string;2097152;2097152;51880016;111837232;24.7383;53.3281;0.46389;74.239;106.658;0.00003;0.00782;
grown;struct3x64;16384;16384;884944;1312048;54.0127;80.0811;0.67448;162.003;159.932;0.00208;0.00891;
grown;struct3x64;2097152;2097152;76284336;167936048;36.3752;80.0781;0.45425;109.152;160.157;0.00003;0.00782;
half-removed;uint64;16384;8192;221264;591152;27.0098;72.1621;0.37429;27.010;72.162;0.00037;0.00806;
half-removed;uint64;2097152;1048576;27459664;75661360;26.1876;72.1563;0.36293;26.188;72.156;0.00000;0.00781;
half-removed;string;16384;8192;409680;873776;50.0098;106.6621;0.46886;50.010;106.662;0.00037;0.00806;
half-removed;string;2097152;1048576;51863632;111837232;49.4610;106.6563;0.46374;49.461;106.656;0.00000;0.00781;
half-removed;struct3x64;16384;8192;606304;1312048;74.0117;160.1621;0.46211;74.012;160.162;0.00049;0.00806;
half-removed;struct3x64;2097152;1048576;76267840;167936048;72.7347;160.1563;0.45415;72.734;160.156;0.00000;0.00781;
window-steady;uint64;16384;16384;335952;591264;20.5049;36.0879;0.56819;34.005;36.081;0.00031;0.00403;
window-steady;uint64;2097152;2097152;41189792;75661360;19.6408;36.0781;0.54440;32.735;36.078;0.00000;0.00391;
window-steady;string;16384;16384;622672;873776;38.0049;53.3311;0.71262;63.005;53.331;0.00031;0.00403;
window-steady;string;2097152;2097152;77799504;111837232;37.0977;53.3281;0.69565;61.828;53.328;0.00000;0.00391;
window-steady;struct3x64;16384;16384;909408;1312048;55.5059;80.0811;0.69312;92.506;80.081;0.00037;0.00403;
window-steady;struct3x64;2097152;2097152;114401600;167936048;54.5509;80.0781;0.68122;90.918;80.078;0.00000;0.00391;
