scenario;keytype;size;unit;items_per_op;raw_block_hash;set3_load_factor;map_load_factor;set3_ns;map_ns;delta_pct;ci_low_pct;ci_high_pct;level;noise_floor_pct;resolved;repeats;validation_runs;inner_loops;block_length;autocorrelation;tie_rate;drift_p_set3;drift_p_map;set3_alloc_bytes;map_alloc_bytes;set3_mallocs;map_mallocs;skipped;seconds;note
build-presized;uint64;16384;ns/element;16384;true;0.0000;0.0000;11.2034;18.9596;40.909;38.842;43.362;0.950;2.1233;true;101;10;30;5;0.3197;0.0082;0.1854;0.0036;20.505;36.078;0.00018;0.00397;false;32.8;candidate B drifted during the run, shifting -4.26% from its first half to its second, the machine did not hold still
build-presized;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;23.1487;55.8789;58.574;58.043;59.152;0.950;2.0668;true;11;2;1;2;0.3667;0.0000;0.4376;0.2622;20.004;36.078;0.00000;0.00391;false;11.4;
build-presized;string;16384;ns/element;16384;false;0.0000;0.0000;18.5407;29.1010;36.288;34.928;38.023;0.950;3.3788;true;101;10;24;5;0.3765;0.0140;0.3126;0.5829;38.507;53.328;0.00020;0.00397;false;43.5;
build-presized;string;2097152;ns/element;2097152;false;0.0000;0.0000;43.2212;83.1722;48.034;45.984;50.737;0.950;2.3030;true;11;2;1;1;0.0488;0.0022;0.7086;0.1589;37.781;53.328;0.00000;0.00391;false;18.4;
build-presized;struct3x64;16384;ns/element;16384;true;0.0000;0.0000;27.4767;53.3774;48.524;43.831;52.769;0.950;4.9402;true;101;10;23;5;0.4160;0.0044;0.2041;0.1959;56.006;80.082;0.00024;0.00400;false;65.9;
build-presized;struct3x64;2097152;ns/element;2097152;true;0.0000;0.0000;56.5310;157.4594;64.098;60.663;64.530;0.950;0.9034;true;11;2;1;2;0.2108;0.0094;0.7737;0.5085;55.559;80.078;0.00000;0.00391;false;30.4;
build-growing;uint64;16384;ns/element;16384;true;0.0000;0.0000;40.2138;50.9804;21.119;18.033;23.380;0.950;2.1474;true;101;10;9;5;0.3541;0.0024;0.0764;0.8935;89.282;72.179;0.00238;0.00879;false;32.1;
build-growing;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;88.7277;78.7290;-12.700;-15.072;-9.417;0.950;0.7963;true;11;2;1;1;-0.2090;0.0042;0.9313;0.7518;88.452;72.159;0.00004;0.00783;false;23.6;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
build-growing;string;16384;ns/element;16384;false;0.0000;0.0000;91.2637;82.1473;-11.098;-15.938;-6.274;0.950;2.5604;true;101;10;5;5;0.4567;0.0000;0.9411;0.2942;166.157;106.628;0.00238;0.00879;false;35.4;
build-growing;string;2097152;ns/element;2097152;false;0.0000;0.0000;275.4224;200.3827;-37.448;-45.611;-29.900;0.950;1.4691;true;11;2;1;1;-0.0285;0.0062;0.7086;0.4723;166.997;106.658;0.00003;0.00782;false;66.4;
dedup-stream;uint64;16384;ns/event;32768;true;0.0000;0.0000;19.7200;22.0112;10.409;8.579;13.066;0.950;2.1560;true;101;10;7;5;0.2643;0.0000;0.1062;0.6397;29.884;18.051;0.00101;0.00241;false;23.4;
dedup-stream;uint64;2097152;ns/event;4194304;true;0.0000;0.0000;39.4807;38.0491;-3.762;-7.088;8.288;0.950;1.4020;false;11;2;1;2;0.3933;0.0044;0.1860;0.5271;29.491;18.040;0.00001;0.00196;false;21.2;the interval [-7.09%, 8.29%] includes zero, so a difference in either direction is consistent with these measurements
dedup-stream;string;16384;ns/event;32768;false;0.0000;0.0000;43.2377;33.1484;-30.436;-33.263;-25.589;0.950;1.8086;true;101;10;4;1;0.1477;0.0036;0.0234;0.2408;55.321;26.650;0.00104;0.00241;false;25.8;candidate A drifted during the run, shifting +1.49% from its first half to its second, the machine did not hold still
dedup-stream;string;2097152;ns/event;4194304;false;0.0000;0.0000;156.0536;128.5241;-21.420;-29.364;-17.584;0.950;0.8027;true;11;2;1;1;-0.0344;0.0008;0.5271;0.7518;55.670;26.665;0.00001;0.00196;false;80.5;
dedup-stream;struct3x64;16384;ns/event;32768;true;0.0000;0.0000;40.6488;49.8548;18.466;16.371;20.140;0.950;1.8881;true;101;10;3;5;0.2964;0.0036;0.0034;0.8105;81.014;39.917;0.00104;0.00241;false;21.5;candidate A drifted during the run, shifting -2.90% from its first half to its second, the machine did not hold still
dedup-stream;struct3x64;2097152;ns/event;4194304;true;0.0000;0.0000;94.0281;125.3603;24.994;21.295;38.250;0.950;2.1739;true;11;2;1;1;0.0692;0.0062;0.6250;0.2502;81.858;40.039;0.00001;0.00196;false;59.3;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit30;uint64;16384;ns/lookup;1;true;0.4389;0.4712;6.9228;10.4663;33.856;33.610;34.263;0.950;0.8578;true;101;10;466647;1;0.0209;0.0024;0.1368;0.5777;0.000;0.000;0.00000;0.00000;false;18.1;
lookup-hit30;uint64;2097152;ns/lookup;1;true;0.4499;0.4712;13.2180;19.0284;30.536;29.952;31.401;0.950;0.3494;true;101;10;282258;1;0.1288;0.0068;0.0050;0.0794;0.000;0.000;0.00000;0.00000;false;20.3;candidate A drifted during the run, shifting -0.74% from its first half to its second, the machine did not hold still
lookup-hit30;string;16384;ns/lookup;1;false;0.4415;0.4687;11.9952;14.6410;18.072;17.874;18.505;0.950;0.2770;true;101;10;203808;1;0.0266;0.0012;0.9409;0.0659;0.000;0.000;0.00000;0.00000;false;12.4;
lookup-hit30;string;2097152;ns/lookup;1;false;0.4500;0.4688;34.2027;39.9926;14.478;6.226;22.479;0.950;0.5398;true;101;10;118645;5;0.2997;0.0066;0.4447;0.4971;0.000;0.000;0.00000;0.00000;false;18.6;
lookup-hit30;struct3x64;16384;ns/lookup;1;true;0.4464;0.4121;10.0286;14.3615;30.171;29.981;30.476;0.950;0.1982;true;101;10;367440;1;0.0542;0.0028;0.8071;0.9356;0.000;0.000;0.00000;0.00000;false;19.9;
lookup-hit30;struct3x64;2097152;ns/lookup;1;true;0.4500;0.4121;18.7359;26.6383;29.666;28.328;30.353;0.950;0.6311;true;101;10;197291;5;0.2441;0.0002;0.3884;0.2593;0.000;0.000;0.00000;0.00000;false;20.3;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit95;uint64;16384;ns/lookup;1;true;0.4389;0.4712;4.7670;6.6619;28.443;28.049;28.672;0.950;0.5888;true;101;10;717631;1;0.0665;0.0062;0.1776;0.5020;0.000;0.000;0.00000;0.00000;false;18.4;
lookup-hit95;uint64;2097152;ns/lookup;1;true;0.4499;0.4712;15.9205;16.1839;1.627;-6.432;6.949;0.950;0.2179;false;101;10;224429;1;-0.0153;0.0048;0.8545;0.6712;0.000;0.000;0.00000;0.00000;false;16.1;the interval [-6.43%, 6.95%] includes zero, so a difference in either direction is consistent with these measurements
lookup-hit95;struct3x64;16384;ns/lookup;1;true;0.4464;0.4121;8.5277;12.1449;29.784;29.622;30.067;0.950;0.5705;true;101;10;354781;1;0.0319;0.0014;0.3421;0.5520;0.000;0.000;0.00000;0.00000;false;16.4;
lookup-hit95;struct3x64;2097152;ns/lookup;1;true;0.4500;0.4121;29.9084;35.5142;15.785;-4.398;37.483;0.950;1.0066;false;101;10;130525;5;0.4465;0.0072;0.0843;0.1899;0.000;0.000;0.00000;0.00000;false;16.6;the interval [-4.40%, 37.48%] includes zero, so a difference in either direction is consistent with these measurements
lookup-hit30-eqload;uint64;16384;ns/lookup;1;true;0.2535;0.4711;6.7894;10.3930;34.673;34.449;34.923;0.950;0.6387;true;101;10;531482;1;0.0275;0.0058;0.0041;0.1200;0.000;0.000;0.00000;0.00000;false;20.2;candidate A drifted during the run, shifting -0.65% from its first half to its second, the machine did not hold still
lookup-hit30-eqload;uint64;2097152;ns/lookup;1;true;0.2544;0.4712;14.6236;19.2623;24.082;22.159;26.785;0.950;0.2910;true;101;10;261231;1;0.1159;0.0024;0.3483;0.7779;0.000;0.000;0.00000;0.00000;false;19.4;
lookup-hit30-eqload;string;16384;ns/lookup;1;false;0.2518;0.4688;11.7358;14.4820;18.963;18.740;19.197;0.950;0.2446;true;101;10;302846;1;0.0228;0.0016;0.6060;0.7377;0.000;0.000;0.00000;0.00000;false;17.8;
lookup-hit30-eqload;string;2097152;ns/lookup;1;false;0.2531;0.4688;38.5281;43.2431;10.903;7.054;14.268;0.950;0.9223;true;101;10;114992;5;0.5398;0.0016;0.3768;0.7147;0.000;0.000;0.00000;0.00000;false;19.0;
lookup-hit30-eqload;struct3x64;16384;ns/lookup;1;true;0.2222;0.4120;9.9082;14.1332;29.894;29.637;30.190;0.950;0.3776;true;101;10;377512;1;0.0492;0.0032;0.1165;0.0480;0.000;0.000;0.00000;0.00000;false;20.1;candidate B drifted during the run, shifting -0.43% from its first half to its second, the machine did not hold still, in 30% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit30-eqload;struct3x64;2097152;ns/lookup;1;true;0.2225;0.4121;20.9385;27.4140;23.621;22.479;25.349;0.950;0.2498;true;101;10;180815;5;0.2041;0.0006;0.0951;0.8871;0.000;0.000;0.00000;0.00000;false;19.6;
lookup-hit95-eqload;uint64;16384;ns/lookup;1;true;0.2535;0.4711;5.0160;6.4474;22.200;21.793;22.509;0.950;0.3738;true;101;10;674877;1;0.0587;0.0022;0.1953;0.4380;0.000;0.000;0.00000;0.00000;false;17.5;
lookup-hit95-eqload;uint64;2097152;ns/lookup;1;true;0.2544;0.4712;18.8815;18.1510;-4.024;-10.860;-0.570;0.950;0.6140;true;101;10;222617;5;0.2389;0.0014;0.3665;0.4592;0.000;0.000;0.00000;0.00000;false;16.9;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit95-eqload;struct3x64;16384;ns/lookup;1;true;0.2222;0.4121;8.8840;11.9865;25.884;25.526;26.197;0.950;0.4084;true;101;10;342759;1;-0.0134;0.0058;0.1354;0.8044;0.000;0.000;0.00000;0.00000;false;16.1;
lookup-hit95-eqload;struct3x64;2097152;ns/lookup;1;true;0.2225;0.4121;33.1427;37.5178;11.661;-14.537;28.893;0.950;0.3942;false;101;10;149218;5;0.4347;0.0000;0.4485;0.7400;0.000;0.000;0.00000;0.00000;false;19.4;the interval [-14.54%, 28.89%] includes zero, so a difference in either direction is consistent with these measurements
sliding-window;uint64;16384;ns/(remove+insert);1;true;0.0000;0.0000;13.5480;36.6610;63.045;62.884;63.132;0.950;0.3857;true;101;10;268542;5;0.2300;0.0040;0.0828;0.0001;430.786;0.000;0.00172;0.00000;false;29.7;candidate B drifted during the run, shifting +0.47% from its first half to its second, the machine did not hold still
sliding-window;uint64;2097152;ns/(remove+insert);1;true;0.0000;0.0000;95.1176;184.9956;48.584;46.911;49.839;0.950;0.7376;true;101;10;48123;5;0.5858;0.0032;0.8746;0.8259;69768.231;0.000;0.00222;0.00000;false;26.2;workload is declared Allocating=false but allocates 69768 bytes per operation, the garbage collection strategy for this row is the wrong one
sliding-window;string;16384;ns/(remove+insert);1;false;0.0000;0.0000;20.9463;45.5776;54.043;53.928;54.189;0.950;0.2878;true;101;10;166919;1;0.0009;0.0048;0.0440;0.6889;1110.943;0.000;0.00236;0.00000;false;24.7;candidate A drifted during the run, shifting +0.40% from its first half to its second, the machine did not hold still
sliding-window;string;2097152;ns/(remove+insert);1;false;0.0000;0.0000;157.7785;241.8300;34.756;33.234;35.951;0.950;0.4285;true;101;10;25899;5;0.6808;0.0000;0.0000;0.0000;0.000;0.000;0.00000;0.00000;false;21.6;candidate A drifted during the run, shifting -5.27% from its first half to its second, the machine did not hold still, candidate B drifted during the run, shifting -1.43% from its first half to its second, the machine did not hold still
churn-fresh;uint64;16384;ns/(remove+insert);1;true;0.0000;0.0000;17.7141;44.0665;59.801;59.298;60.494;0.950;1.8255;true;101;10;234188;1;0.0019;0.0014;0.8057;0.8733;430.415;0.000;0.00172;0.00000;false;33.9;workload is declared Allocating=true but allocates 430 bytes per operation, the garbage collection strategy for this row is the wrong one
churn-fresh;uint64;2097152;ns/(remove+insert);1;true;0.0000;0.0000;124.7951;207.8828;39.969;39.051;43.885;0.950;0.9994;true;101;10;44958;5;0.5825;0.0030;0.3324;0.3270;75366.400;0.000;0.00240;0.00000;false;30.3;
churn-fresh;struct3x64;16384;ns/(remove+insert);1;true;0.0000;0.0000;25.9010;70.4410;63.230;62.318;64.936;0.950;1.2556;true;101;10;163008;1;0.0154;0.0024;0.8364;0.7569;1283.821;0.000;0.00187;0.00000;false;34.7;workload is declared Allocating=true but allocates 1284 bytes per operation, the garbage collection strategy for this row is the wrong one
churn-fresh;struct3x64;2097152;ns/(remove+insert);1;true;0.0000;0.0000;180.6879;348.4044;48.138;47.388;48.501;0.950;1.0704;true;101;10;22230;5;0.5159;0.0038;0.0021;0.3457;211603.525;0.000;0.00242;0.00000;false;29.2;candidate A drifted during the run, shifting -0.15% from its first half to its second, the machine did not hold still
mixed-index;uint64;16384;ns/operation;1;true;0.0000;0.0000;9.7295;17.0887;43.065;42.802;43.298;0.950;0.6406;true;101;10;402909;1;0.0177;0.0010;0.0985;0.0001;0.000;0.000;0.00000;0.00000;false;23.9;candidate B drifted during the run, shifting +0.68% from its first half to its second, the machine did not hold still, in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
mixed-index;uint64;2097152;ns/operation;1;true;0.0000;0.0000;70.4478;83.6423;15.775;14.477;17.238;0.950;0.8772;true;101;10;49341;5;0.7253;0.0032;0.0415;0.1842;0.000;0.000;0.00000;0.00000;false;16.3;candidate A drifted during the run, shifting -1.46% from its first half to its second, the machine did not hold still
mixed-index;string;16384;ns/operation;1;false;0.0000;0.0000;17.1911;23.9305;28.162;27.903;28.396;0.950;0.2245;true;101;10;183307;1;0.0233;0.0034;0.0147;0.3987;0.000;0.000;0.00000;0.00000;false;17.0;candidate A drifted during the run, shifting -1.18% from its first half to its second, the machine did not hold still
mixed-index;string;2097152;ns/operation;1;false;0.0000;0.0000;129.0823;139.7358;7.624;5.913;8.831;0.950;0.5327;true;101;10;26923;5;0.7256;0.0024;0.0001;0.1227;0.000;0.000;0.00000;0.00000;false;16.9;candidate A drifted during the run, shifting -2.05% from its first half to its second, the machine did not hold still
graph-visited;uint64;16384;ns/edge;64240;true;0.0000;0.0000;9.4627;14.9442;36.680;35.123;38.109;0.950;2.1161;true;101;10;6;1;0.0035;0.0036;0.1613;0.0719;5.230;9.201;0.00005;0.00101;false;22.7;
intersect;uint64;16384;ns/probe;16384;true;0.0000;0.0000;17.7795;25.8231;31.149;29.705;33.059;0.950;1.7630;true;101;10;21;5;0.2069;0.0042;0.1232;0.0253;49.005;36.078;0.00031;0.00397;false;35.2;candidate B drifted during the run, shifting -2.68% from its first half to its second, the machine did not hold still
intersect;uint64;2097152;ns/probe;2097152;true;0.0000;0.0000;38.6765;93.2837;58.539;57.818;59.882;0.950;1.7985;true;11;2;1;1;0.0519;0.0176;0.4376;0.1206;48.008;36.078;0.00000;0.00391;false;19.5;
intersect;string;16384;ns/probe;16384;false;0.0000;0.0000;39.2552;37.8336;-3.758;-10.131;-0.534;0.950;2.2836;true;101;10;12;1;0.0962;0.0048;0.9656;0.6498;92.005;53.328;0.00031;0.00397;false;36.9;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
intersect;string;2097152;ns/probe;2097152;false;0.0000;0.0000;100.4670;167.3226;39.956;39.193;41.918;0.950;0.9057;true;11;2;1;1;0.0735;0.0120;0.5460;0.1349;90.676;53.328;0.00000;0.00391;false;42.4;
iterate;uint64;16384;ns/element;16384;true;0.0000;0.0000;1.8999;5.9682;68.167;68.023;68.371;0.950;0.3457;true;101;10;96;1;0.0522;0.0018;0.3654;0.5805;0.000;0.000;0.00000;0.00000;false;27.7;
iterate;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;3.0801;7.4355;58.575;57.899;59.002;0.950;2.3743;true;51;4;1;1;0.0366;0.0090;0.4567;0.0679;0.000;0.000;0.00000;0.00000;false;10.8;
iterate;string;16384;ns/element;16384;false;0.0000;0.0000;2.3857;6.8723;65.285;64.323;65.832;0.950;0.2436;true;101;10;87;5;0.2222;0.0002;0.0000;0.0000;0.000;0.000;0.00000;0.00000;false;27.8;candidate A drifted during the run, shifting -3.65% from its first half to its second, the machine did not hold still, candidate B drifted during the run, shifting -3.87% from its first half to its second, the machine did not hold still
iterate;string;2097152;ns/element;2097152;false;0.0000;0.0000;18.7673;41.6527;54.943;54.404;56.080;0.950;0.7145;true;11;2;1;1;0.1698;0.0004;0.3428;0.6455;0.000;0.000;0.00000;0.00000;false;9.2;
iterate;struct3x64;16384;ns/element;16384;true;0.0000;0.0000;1.8846;6.1725;69.467;69.379;69.582;0.950;0.2567;true;101;10;100;1;0.1182;0.0004;0.1994;0.3639;0.000;0.000;0.00000;0.00000;false;29.1;
iterate;struct3x64;2097152;ns/element;2097152;true;0.0000;0.0000;4.9557;8.2877;40.205;39.234;41.283;0.950;1.1388;true;51;4;1;4;0.3858;0.0068;0.0011;0.8533;0.000;0.000;0.00000;0.00000;false;13.8;candidate A drifted during the run, shifting -0.81% from its first half to its second, the machine did not hold still
