shape;keytype;size;elements;set3_bytes;map_bytes;set3_bytes_per_element;map_bytes_per_element;ratio_set3_over_map;set3_build_bytes_per_element;map_build_bytes_per_element;set3_build_mallocs_per_element;map_build_mallocs_per_element;note
presized;uint64;16384;16384;336064;591152;20.5117;36.0811;0.56849;20.505;36.081;0.00018;0.00403;
presized;uint64;2097152;2097152;41951424;75661472;20.0040;36.0782;0.55446;20.004;36.078;0.00000;0.00391;
presized;string;16384;16384;630864;873776;38.5049;53.3311;0.72200;38.505;53.331;0.00018;0.00403;
presized;string;2097152;2097152;79233104;111837232;37.7813;53.3281;0.70847;37.781;53.328;0.00000;0.00391;
presized;struct3x64;16384;16384;917600;1312048;56.0059;80.0811;0.69936;56.006;80.081;0.00024;0.00403;
presized;struct3x64;2097152;2097152;116515136;167936048;55.5587;80.0781;0.69381;55.559;80.078;0.00000;0.00391;
grown;uint64;16384;16384;483408;591152;29.5049;36.0811;0.81774;89.269;72.191;0.00214;0.00891;
grown;uint64;2097152;2097152;61800864;75661696;29.4689;36.0783;0.81681;88.451;72.159;0.00003;0.00783;
grown;string;16384;16384;909392;873776;55.5049;53.3311;1.04076;166.136;106.651;0.00214;0.00897;
grown;string;2097152;2097152;116719696;111837232;55.6563;53.3281;1.04366;166.997;106.658;0.00003;0.00782;
grown;struct3x64;16384;16384;1327200;1312160;81.0059;80.0879;1.01146;243.027;159.939;0.00220;0.00897;
grown;struct3x64;2097152;2097152;171639104;167936160;81.8439;80.0782;1.02205;245.559;160.157;0.00003;0.00782;
half-removed;uint64;16384;8192;335952;591152;41.0098;72.1621;0.56830;41.010;72.162;0.00037;0.00806;
half-removed;uint64;2097152;1048576;41951536;75661360;40.0081;72.1563;0.55446;40.008;72.156;0.00000;0.00781;
half-removed;string;16384;8192;630864;873776;77.0098;106.6621;0.72200;77.010;106.662;0.00037;0.00806;
half-removed;string;2097152;1048576;79233104;111837232;75.5626;106.6563;0.70847;75.563;106.656;0.00000;0.00781;
half-removed;struct3x64;16384;8192;917600;1312048;112.0117;160.1621;0.69936;112.012;160.162;0.00049;0.00806;
half-removed;struct3x64;2097152;1048576;116515248;167936048;111.1176;160.1563;0.69381;111.117;160.156;0.00000;0.00781;
window-steady;uint64;16384;16384;499792;591152;30.5049;36.0811;0.84545;51.005;36.081;0.00031;0.00403;
window-steady;uint64;2097152;2097152;62931360;75661360;30.0080;36.0781;0.83175;50.012;36.078;0.00000;0.00391;
window-steady;string;16384;16384;942160;873776;57.5049;53.3311;1.07826;96.005;53.331;0.00031;0.00403;
window-steady;string;2097152;2097152;118857808;111837232;56.6758;53.3281;1.06277;94.457;53.328;0.00000;0.00391;
window-steady;struct3x64;16384;16384;1376352;1312048;84.0059;80.0811;1.04901;140.006;80.081;0.00037;0.00403;
window-steady;struct3x64;2097152;2097152;174784608;167936048;83.3438;80.0781;1.04078;138.902;80.078;0.00000;0.00391;
