scenario;keytype;size;unit;items_per_op;raw_block_hash;set3_load_factor;map_load_factor;set3_ns;map_ns;delta_pct;ci_low_pct;ci_high_pct;level;noise_floor_pct;resolved;repeats;validation_runs;inner_loops;block_length;autocorrelation;tie_rate;drift_p_set3;drift_p_map;set3_alloc_bytes;map_alloc_bytes;set3_mallocs;map_mallocs;skipped;seconds;note
build-presized;uint64;16384;ns/element;16384;true;0.0000;0.0000;9.7157;17.3194;43.903;42.575;45.565;0.950;2.0485;true;101;10;30;5;0.2443;0.0036;0.4999;0.9089;11.255;36.078;0.00018;0.00397;false;30.7;
build-presized;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;17.9330;56.5327;68.279;67.004;69.164;0.950;2.4233;true;11;2;1;1;-0.0499;0.0140;0.0701;0.7518;11.082;36.078;0.00000;0.00391;false;10.6;
build-presized;string;16384;ns/element;16384;false;0.0000;0.0000;14.6198;29.2989;50.101;48.063;51.555;0.950;1.3156;true;101;10;20;1;0.1003;0.0038;0.2980;0.6080;21.255;53.333;0.00018;0.00401;false;32.5;
build-presized;string;2097152;ns/element;2097152;false;0.0000;0.0000;39.5850;82.7092;52.140;50.217;56.260;0.950;2.0499;true;11;2;1;1;0.1784;0.0072;0.4723;0.6250;20.930;53.328;0.00000;0.00391;false;18.0;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
build-presized;struct3x64;16384;ns/element;16384;true;0.0000;0.0000;17.2546;44.4202;61.156;59.735;61.857;0.950;1.6205;true;101;10;21;5;0.3220;0.0002;0.0579;0.1185;31.256;80.078;0.00024;0.00397;false;46.9;
build-presized;struct3x64;2097152;ns/element;2097152;true;0.0000;0.0000;51.2228;160.7134;68.128;64.855;70.438;0.950;1.1747;true;11;2;1;2;0.2418;0.0010;0.9771;0.2746;30.777;80.078;0.00000;0.00391;false;29.2;
build-growing;uint64;16384;ns/element;16384;true;0.0000;0.0000;28.2138;49.2812;42.749;41.687;44.122;0.950;0.9668;true;101;10;10;1;0.0408;0.0006;0.3764;0.9071;39.782;72.179;0.00214;0.00879;false;29.7;
build-growing;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;50.6480;77.7091;34.824;32.421;36.313;0.950;1.1499;true;11;2;1;2;0.2745;0.0166;0.8631;0.2059;39.338;72.159;0.00003;0.00783;false;18.8;
build-growing;string;16384;ns/element;16384;false;0.0000;0.0000;57.8475;79.0797;26.849;23.338;30.270;0.950;2.9716;true;101;10;5;5;0.3557;0.0018;0.2956;0.3915;73.657;106.628;0.00214;0.00879;false;27.8;
build-growing;string;2097152;ns/element;2097152;false;0.0000;0.0000;169.2858;197.9127;14.464;10.084;18.676;0.950;0.5851;true;11;2;1;1;0.0139;0.0124;0.5271;0.8857;74.240;106.658;0.00003;0.00782;false;51.4;
dedup-stream;uint64;16384;ns/event;32768;true;0.0000;0.0000;16.4488;21.7899;24.512;22.859;25.883;0.950;2.1798;true;101;10;8;1;-0.0031;0.0034;0.5409;0.8704;13.380;18.051;0.00089;0.00241;false;24.1;
dedup-stream;uint64;2097152;ns/event;4194304;true;0.0000;0.0000;24.9201;37.1600;32.938;31.822;34.378;0.950;0.2667;true;11;2;1;2;0.2167;0.0196;0.6455;0.3728;13.120;18.040;0.00001;0.00196;false;17.6;
dedup-stream;string;16384;ns/event;32768;false;0.0000;0.0000;30.2454;33.4721;9.640;7.298;11.809;0.950;2.2642;true;101;10;4;1;0.0687;0.0000;0.6507;0.0375;24.558;26.650;0.00089;0.00241;false;22.0;candidate B drifted during the run, shifting -2.18% from its first half to its second, the machine did not hold still
dedup-stream;string;2097152;ns/event;4194304;false;0.0000;0.0000;117.9450;117.1644;-0.666;-1.742;1.485;0.950;1.4006;false;11;2;1;1;0.0391;0.0192;0.4902;0.4209;24.750;26.665;0.00001;0.00196;false;68.4;the difference of -0.67% does not clear the 1.40% noise floor, which is what this setup reports between two runs of identical code, the interval [-1.74%, 1.49%] includes zero, so a difference in either direction is consistent with these measurements, in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
dedup-stream;struct3x64;16384;ns/event;32768;true;0.0000;0.0000;28.3194;48.9431;42.138;40.757;43.125;0.950;2.0509;true;101;10;5;1;0.1821;0.0034;0.0343;0.0946;36.001;39.917;0.00092;0.00241;false;30.1;candidate A drifted during the run, shifting +2.56% from its first half to its second, the machine did not hold still, in 30% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
dedup-stream;struct3x64;2097152;ns/event;4194304;true;0.0000;0.0000;62.3687;122.8875;49.247;47.843;51.488;0.950;1.7182;true;11;2;1;1;0.0725;0.0140;0.8405;0.3576;36.389;40.039;0.00001;0.00196;false;52.6;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit30;uint64;16384;ns/lookup;1;true;0.7997;0.4712;12.3135;10.5229;-17.016;-17.661;-16.514;0.950;0.3683;true;101;10;340651;1;0.0940;0.0078;0.5772;0.2518;0.000;0.000;0.00000;0.00000;false;17.5;
lookup-hit30;uint64;2097152;ns/lookup;1;true;0.8121;0.4712;18.7592;19.2238;2.417;1.713;3.152;0.950;0.2462;true;101;10;194040;1;0.0328;0.0066;0.9089;0.9046;0.000;0.000;0.00000;0.00000;false;16.8;
lookup-hit30;string;16384;ns/lookup;1;false;0.7998;0.4688;18.3797;14.6849;-25.161;-25.486;-24.859;0.950;0.5401;true;101;10;243205;1;0.0076;0.0002;0.2309;0.1886;0.000;0.000;0.00000;0.00000;false;18.1;in 40% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit30;string;2097152;ns/lookup;1;false;0.8122;0.4688;43.0981;39.3610;-9.494;-14.175;-3.059;0.950;0.9174;true;101;10;86210;5;0.3274;0.0036;0.8647;0.5523;0.000;0.000;0.00000;0.00000;false;15.8;
lookup-hit30;struct3x64;16384;ns/lookup;1;true;0.7997;0.4121;15.1600;14.1761;-6.941;-7.278;-6.538;0.950;0.3070;true;101;10;261688;1;-0.0013;0.0042;0.0818;0.9921;0.000;0.000;0.00000;0.00000;false;17.3;in 40% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit30;struct3x64;2097152;ns/lookup;1;true;0.8123;0.4121;24.2608;26.9418;9.951;8.828;10.932;0.950;0.3933;true;101;10;151143;1;0.0982;0.0002;0.2843;0.0880;0.000;0.000;0.00000;0.00000;false;17.8;in 30% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit95;uint64;16384;ns/lookup;1;true;0.7997;0.4712;6.3498;6.6475;4.478;4.060;5.117;0.950;0.3915;true;101;10;575603;1;-0.0192;0.0000;0.0629;0.0228;0.000;0.000;0.00000;0.00000;false;16.8;candidate B drifted during the run, shifting +0.46% from its first half to its second, the machine did not hold still, in 30% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit95;uint64;2097152;ns/lookup;1;true;0.8121;0.4712;14.7331;16.2970;9.596;4.765;12.109;0.950;0.8921;true;101;10;254210;1;0.0100;0.0008;0.6595;0.9267;0.000;0.000;0.00000;0.00000;false;17.3;in 30% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit95;struct3x64;16384;ns/lookup;1;true;0.7997;0.4121;9.5717;12.4546;23.147;22.759;23.380;0.950;0.2473;true;101;10;387434;1;0.0520;0.0022;0.0198;0.1553;0.000;0.000;0.00000;0.00000;false;18.8;candidate A drifted during the run, shifting -0.78% from its first half to its second, the machine did not hold still
lookup-hit95;struct3x64;2097152;ns/lookup;1;true;0.8123;0.4121;27.4290;34.1620;19.709;12.246;32.172;0.950;0.2266;true;101;10;159037;5;0.3228;0.0034;0.1353;0.0374;0.000;0.000;0.00000;0.00000;false;19.2;candidate B drifted during the run, shifting -4.47% from its first half to its second, the machine did not hold still
lookup-hit30-eqload;uint64;16384;ns/lookup;1;true;0.4497;0.4712;6.9425;10.3232;32.748;32.498;32.974;0.950;0.9720;true;101;10;514109;1;-0.0078;0.0064;0.2246;0.9999;0.000;0.000;0.00000;0.00000;false;19.8;
lookup-hit30-eqload;uint64;2097152;ns/lookup;1;true;0.4593;0.4712;12.7710;18.6860;31.655;30.811;32.366;0.950;0.2357;true;101;10;262898;1;0.1074;0.0058;0.3762;0.5897;0.000;0.000;0.00000;0.00000;false;18.7;
lookup-hit30-eqload;string;16384;ns/lookup;1;false;0.4473;0.4688;12.0308;14.4816;16.924;16.592;17.184;0.950;0.4391;true;101;10;295870;1;0.1013;0.0022;0.1856;0.8278;0.000;0.000;0.00000;0.00000;false;17.5;
lookup-hit30-eqload;string;2097152;ns/lookup;1;false;0.4570;0.4688;34.9697;42.1634;17.061;13.654;19.861;0.950;0.7143;true;101;10;124586;5;0.4526;0.0000;0.6968;0.2974;0.000;0.000;0.00000;0.00000;false;19.3;
lookup-hit30-eqload;struct3x64;16384;ns/lookup;1;true;0.4000;0.4121;10.0821;14.3120;29.555;29.282;29.762;0.950;0.3417;true;101;10;308045;1;0.0490;0.0000;0.0096;0.0011;0.000;0.000;0.00000;0.00000;false;16.6;candidate A drifted during the run, shifting -0.81% from its first half to its second, the machine did not hold still, candidate B drifted during the run, shifting -0.58% from its first half to its second, the machine did not hold still
lookup-hit30-eqload;struct3x64;2097152;ns/lookup;1;true;0.4018;0.4121;18.2882;26.1642;30.102;29.263;31.421;0.950;0.2432;true;101;10;209634;5;0.2002;0.0000;0.0880;0.0002;0.000;0.000;0.00000;0.00000;false;21.5;candidate B drifted during the run, shifting +3.29% from its first half to its second, the machine did not hold still
lookup-hit95-eqload;uint64;16384;ns/lookup;1;true;0.4499;0.4711;4.6401;6.5426;29.078;28.807;29.314;0.950;0.7256;true;101;10;731573;1;0.1282;0.0020;0.5954;0.6406;0.000;0.000;0.00000;0.00000;false;18.5;
lookup-hit95-eqload;uint64;2097152;ns/lookup;1;true;0.4593;0.4712;20.4594;24.5027;16.502;-25.619;32.642;0.950;2.4553;false;101;10;236575;5;0.7193;0.0060;0.0074;0.0122;0.000;0.000;0.00000;0.00000;false;23.0;the interval [-25.62%, 32.64%] includes zero, so a difference in either direction is consistent with these measurements, candidate A drifted during the run, shifting -35.67% from its first half to its second, the machine did not hold still, candidate B drifted during the run, shifting -29.03% from its first half to its second, the machine did not hold still
lookup-hit95-eqload;struct3x64;16384;ns/lookup;1;true;0.4000;0.4121;8.8005;12.5042;29.620;28.664;30.118;0.950;0.3763;true;101;10;364715;1;0.1030;0.0050;0.0950;0.2605;0.000;0.000;0.00000;0.00000;false;17.4;
lookup-hit95-eqload;struct3x64;2097152;ns/lookup;1;true;0.4018;0.4121;57.8827;69.5752;16.806;9.078;31.643;0.950;4.4075;true;101;10;154464;5;0.6822;0.0084;0.9549;0.8251;0.000;0.000;0.00000;0.00000;false;26.0;
sliding-window;uint64;16384;ns/(remove+insert);1;true;0.0000;0.0000;25.5925;37.3045;31.396;31.019;31.604;0.950;0.2616;true;101;10;198297;1;0.1082;0.0108;0.0660;0.4679;226.262;0.000;0.00162;0.00000;false;27.3;in 30% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
sliding-window;uint64;2097152;ns/(remove+insert);1;true;0.0000;0.0000;117.9552;200.4904;41.167;38.757;47.167;0.950;1.8223;true;101;10;60811;5;0.6084;0.0026;0.5556;0.0763;37400.172;0.000;0.00215;0.00000;false;37.9;workload is declared Allocating=false but allocates 37400 bytes per operation, the garbage collection strategy for this row is the wrong one
sliding-window;string;16384;ns/(remove+insert);1;false;0.0000;0.0000;33.1374;48.7334;32.003;30.974;32.936;0.950;0.1738;true;101;10;141156;1;0.1205;0.0000;0.4181;0.1556;504.608;0.000;0.00192;0.00000;false;25.1;
sliding-window;string;2097152;ns/(remove+insert);1;false;0.0000;0.0000;211.6946;282.6365;25.100;23.256;26.843;0.950;1.3955;true;101;10;19967;5;0.6956;0.0042;0.3549;0.6203;204443.826;0.000;0.00621;0.00000;false;20.9;workload is declared Allocating=false but allocates 204444 bytes per operation, the garbage collection strategy for this row is the wrong one
churn-fresh;uint64;16384;ns/(remove+insert);1;true;0.0000;0.0000;26.9433;45.3666;40.610;39.543;41.386;0.950;1.0434;true;101;10;155054;1;-0.0116;0.0000;0.2919;0.4419;0.000;0.000;0.00000;0.00000;false;26.5;workload is declared Allocating=true but allocates 0 bytes per operation, the garbage collection strategy for this row is the wrong one
churn-fresh;uint64;2097152;ns/(remove+insert);1;true;0.0000;0.0000;110.1103;203.5807;45.913;43.469;47.576;0.950;1.4991;true;101;10;56410;5;0.5118;0.0016;0.2841;0.1591;42664.578;0.000;0.00245;0.00000;false;36.2;
churn-fresh;struct3x64;16384;ns/(remove+insert);1;true;0.0000;0.0000;35.0208;71.0754;50.727;50.078;51.220;0.950;1.8762;true;101;10;137406;1;0.1202;0.0020;0.9804;0.8642;0.000;0.000;0.00000;0.00000;false;32.3;workload is declared Allocating=true but allocates 0 bytes per operation, the garbage collection strategy for this row is the wrong one
