scenario;keytype;size;unit;items_per_op;raw_block_hash;set3_load_factor;map_load_factor;set3_ns;map_ns;delta_pct;ci_low_pct;ci_high_pct;level;noise_floor_pct;resolved;repeats;validation_runs;inner_loops;block_length;autocorrelation;tie_rate;drift_p_set3;drift_p_map;set3_alloc_bytes;map_alloc_bytes;set3_mallocs;map_mallocs;skipped;seconds;note
build-presized;uint64;16384;ns/element;16384;true;0.0000;0.0000;9.6719;17.8847;45.921;44.646;47.048;0.950;1.9576;true;101;10;34;1;0.1500;0.0046;0.0726;0.4558;15.255;36.078;0.00020;0.00397;false;34.9;
build-presized;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;20.8220;56.5066;63.151;62.031;63.598;0.950;1.4159;true;11;2;1;2;0.4156;0.0006;0.9771;0.5085;15.004;36.078;0.00000;0.00391;false;11.0;
build-presized;string;16384;ns/element;16384;false;0.0000;0.0000;15.9804;29.6685;46.137;45.167;47.031;0.950;1.3093;true;101;10;25;5;0.2085;0.0042;0.9246;0.6466;28.755;53.328;0.00018;0.00397;false;41.4;
build-presized;string;2097152;ns/element;2097152;false;0.0000;0.0000;42.5971;84.7290;49.726;48.090;52.360;0.950;0.6416;true;11;2;1;2;0.2431;0.0130;0.2622;0.0899;28.336;53.328;0.00000;0.00391;false;18.3;
build-presized;struct3x64;16384;ns/element;16384;true;0.0000;0.0000;19.1994;50.2966;61.828;59.127;63.170;0.950;1.8674;true;101;10;18;5;0.4903;0.0066;0.0239;0.0001;42.256;80.078;0.00024;0.00397;false;47.7;candidate A drifted during the run, shifting -10.55% from its first half to its second, the machine did not hold still, candidate B drifted during the run, shifting -5.70% from its first half to its second, the machine did not hold still
build-presized;struct3x64;2097152;ns/element;2097152;true;0.0000;0.0000;52.3101;160.9080;67.491;66.716;67.987;0.950;1.2884;true;11;2;1;1;0.0449;0.0124;0.1138;0.4209;41.672;80.078;0.00000;0.00391;false;29.9;
build-growing;uint64;16384;ns/element;16384;true;0.0000;0.0000;30.6897;49.1785;37.595;36.282;39.642;0.950;2.3287;true;101;10;10;5;0.2741;0.0030;0.2235;0.7677;59.782;72.179;0.00226;0.00879;false;30.8;in 30% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
build-growing;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;66.3286;78.5878;15.599;13.288;17.979;0.950;3.0316;true;11;2;1;1;-0.0214;0.0058;0.3007;0.7301;58.983;72.159;0.00003;0.00783;false;20.4;
build-growing;string;16384;ns/element;16384;false;0.0000;0.0000;65.7609;75.5560;12.964;9.733;14.812;0.950;1.5631;true;101;10;6;5;0.2357;0.0022;0.0439;0.0495;110.657;106.628;0.00226;0.00879;false;32.8;candidate A drifted during the run, shifting +2.90% from its first half to its second, the machine did not hold still, candidate B drifted during the run, shifting -0.05% from its first half to its second, the machine did not hold still
build-growing;string;2097152;ns/element;2097152;false;0.0000;0.0000;201.0951;193.6014;-3.871;-6.076;-1.543;0.950;1.2436;true;11;2;1;1;0.0475;0.0174;0.7958;0.4902;111.341;106.658;0.00003;0.00782;false;55.8;
dedup-stream;uint64;16384;ns/event;32768;true;0.0000;0.0000;17.0437;22.7753;25.166;23.674;27.131;0.950;1.7617;true;101;10;8;1;0.1437;0.0050;0.2315;0.9111;19.880;18.051;0.00095;0.00241;false;25.3;
