scenario;keytype;size;unit;items_per_op;raw_block_hash;set3_load_factor;map_load_factor;set3_ns;map_ns;delta_pct;ci_low_pct;ci_high_pct;level;noise_floor_pct;resolved;repeats;validation_runs;inner_loops;block_length;autocorrelation;tie_rate;drift_p_set3;drift_p_map;set3_alloc_bytes;map_alloc_bytes;set3_mallocs;map_mallocs;skipped;seconds;note
build-presized;uint64;16384;ns/element;16384;true;0.0000;0.0000;9.6949;17.1406;43.439;41.295;44.832;0.950;2.7306;true;101;10;33;5;0.2137;0.0064;0.5232;0.1224;17.505;36.078;0.00018;0.00397;false;33.7;
build-presized;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;21.2750;56.8702;62.590;60.904;63.210;0.950;1.3212;true;11;2;1;1;0.0919;0.0048;0.6250;0.3576;17.145;36.078;0.00000;0.00391;false;11.1;
build-presized;string;16384;ns/element;16384;false;0.0000;0.0000;16.8806;29.5285;42.833;40.789;44.191;0.950;2.1187;true;101;10;23;5;0.3328;0.0038;0.0663;0.3854;33.005;53.328;0.00018;0.00397;false;39.6;
build-presized;string;2097152;ns/element;2097152;false;0.0000;0.0000;42.5747;83.7949;49.192;47.869;50.053;0.950;1.5644;true;11;2;1;2;0.2488;0.0090;0.1349;0.7086;32.383;53.331;0.00000;0.00391;false;18.3;
build-presized;struct3x64;16384;ns/element;16384;true;0.0000;0.0000;19.5954;46.4080;57.776;55.507;58.906;0.950;2.2292;true;101;10;23;5;0.4221;0.0032;0.9555;0.0003;48.006;80.082;0.00024;0.00400;false;57.6;candidate B drifted during the run, shifting +5.33% from its first half to its second, the machine did not hold still
build-presized;struct3x64;2097152;ns/element;2097152;true;0.0000;0.0000;54.2616;159.7111;66.025;63.227;67.538;0.950;0.4494;true;11;2;1;1;0.0620;0.0056;0.1589;0.7301;47.621;80.078;0.00000;0.00391;false;30.2;
build-growing;uint64;16384;ns/element;16384;true;0.0000;0.0000;30.2441;50.6041;40.234;38.760;41.233;0.950;1.6212;true;101;10;11;5;0.2251;0.0068;0.8481;0.6383;59.782;72.179;0.00226;0.00879;false;33.7;
build-growing;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;61.6690;80.4944;23.387;19.860;25.134;0.950;0.7723;true;11;2;1;1;-0.0920;0.0072;0.5271;0.2746;58.983;72.159;0.00003;0.00783;false;19.9;
build-growing;string;16384;ns/element;16384;false;0.0000;0.0000;66.1707;80.2807;17.576;13.561;20.283;0.950;2.1342;true;101;10;5;5;0.5624;0.0034;0.3325;0.2972;110.657;106.628;0.00226;0.00879;false;29.6;
build-growing;string;2097152;ns/element;2097152;false;0.0000;0.0000;187.7725;194.6171;3.517;1.789;10.885;0.950;1.1546;true;11;2;1;1;0.1298;0.0268;0.8631;0.9771;111.341;106.658;0.00003;0.00782;false;53.5;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
dedup-stream;uint64;16384;ns/event;32768;true;0.0000;0.0000;15.9156;22.0470;27.811;25.568;29.559;0.950;2.2350;true;101;10;8;5;0.2446;0.0010;0.2870;0.1766;19.880;18.051;0.00095;0.00241;false;24.1;
dedup-stream;uint64;2097152;ns/event;4194304;true;0.0000;0.0000;30.0821;37.8599;20.544;16.779;24.245;0.950;1.0137;true;11;2;1;1;-0.0210;0.0082;0.3428;0.5653;19.669;18.040;0.00001;0.00196;false;19.0;
dedup-stream;string;16384;ns/event;32768;false;0.0000;0.0000;31.8384;36.0550;11.695;9.867;13.363;0.950;2.4943;true;101;10;5;1;0.0614;0.0000;0.7073;0.1839;36.808;26.650;0.00095;0.00241;false;29.0;
dedup-stream;string;2097152;ns/event;4194304;false;0.0000;0.0000;129.6517;124.5462;-4.099;-9.251;-2.537;0.950;0.6827;true;11;2;1;1;-0.0331;0.0064;0.1349;0.7518;37.120;26.665;0.00001;0.00196;false;72.7;
dedup-stream;struct3x64;16384;ns/event;32768;true;0.0000;0.0000;33.7472;50.9183;33.723;31.492;34.892;0.950;2.7211;true;101;10;3;5;0.3065;0.0026;0.2698;0.7074;54.001;39.917;0.00098;0.00241;false;20.0;
dedup-stream;struct3x64;2097152;ns/event;4194304;true;0.0000;0.0000;74.1519;123.2840;39.853;37.665;47.308;0.950;3.3717;true;11;2;1;1;-0.0909;0.0044;0.8405;0.2502;54.576;40.039;0.00001;0.00196;false;54.7;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit30;uint64;16384;ns/lookup;1;true;0.5141;0.4710;7.3068;10.5182;30.531;30.276;30.872;0.950;1.3143;true;101;10;478278;1;0.0967;0.0012;0.1114;0.1573;0.000;0.000;0.00000;0.00000;false;19.1;in 70% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit30;uint64;2097152;ns/lookup;1;true;0.5249;0.4712;12.8972;18.8358;31.528;31.162;32.052;0.950;0.2517;true;101;10;258718;1;0.1259;0.0036;0.6552;0.9128;0.000;0.000;0.00000;0.00000;false;18.8;
lookup-hit30;string;16384;ns/lookup;1;false;0.5151;0.4688;12.3738;14.7801;16.281;16.030;16.485;0.950;0.4212;true;101;10;294854;1;-0.0002;0.0066;0.9458;0.6091;0.000;0.000;0.00000;0.00000;false;17.8;
lookup-hit30;string;2097152;ns/lookup;1;false;0.5250;0.4688;32.5519;38.9897;16.512;7.233;24.880;0.950;0.7746;true;101;10;108358;1;0.1710;0.0036;0.5962;0.2617;0.000;0.000;0.00000;0.00000;false;16.9;
lookup-hit30;struct3x64;16384;ns/lookup;1;true;0.5207;0.4121;10.3141;14.1896;27.313;26.988;27.574;0.950;0.4342;true;101;10;358123;1;0.0522;0.0034;0.1831;0.6031;0.000;0.000;0.00000;0.00000;false;19.6;in 60% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
