shape;keytype;size;elements;set3_bytes;map_bytes;set3_bytes_per_element;map_bytes_per_element;ratio_set3_over_map;set3_build_bytes_per_element;map_build_bytes_per_element;set3_build_mallocs_per_element;map_build_mallocs_per_element;note
presized;uint64;16384;16384;286800;591152;17.5049;36.0811;0.48515;17.505;36.081;0.00018;0.00403;
presized;uint64;2097152;2097152;35955104;75661360;17.1447;36.0781;0.47521;17.145;36.078;0.00000;0.00391;
presized;string;16384;16384;540752;873776;33.0049;53.3311;0.61887;33.005;53.331;0.00018;0.00403;
presized;string;2097152;2097152;67911760;111837232;32.3829;53.3281;0.60724;32.383;53.328;0.00000;0.00391;
presized;struct3x64;16384;16384;786528;1312048;48.0059;80.0811;0.59947;48.006;80.081;0.00024;0.00403;
presized;struct3x64;2097152;2097152;99868880;167936048;47.6212;80.0781;0.59468;47.621;80.078;0.00000;0.00391;
grown;uint64;16384;16384;327760;591152;20.0049;36.0811;0.55444;59.760;72.191;0.00201;0.00891;
grown;uint64;2097152;2097152;41198096;75661360;19.6448;36.0781;0.54451;58.983;72.159;0.00003;0.00782;
grown;string;16384;16384;606400;873776;37.0117;53.3311;0.69400;110.622;106.644;0.00208;0.00891;
grown;string;2097152;2097152;77807696;111837232;37.1016;53.3281;0.69572;111.341;106.658;0.00003;0.00782;
grown;struct3x64;16384;16384;884944;1312160;54.0127;80.0879;0.67442;162.010;159.932;0.00214;0.00891;
grown;struct3x64;2097152;2097152;114426400;167936272;54.5628;80.0783;0.68137;163.715;160.157;0.00003;0.00783;
half-removed;uint64;16384;8192;286912;591152;35.0234;72.1621;0.48534;35.010;72.162;0.00037;0.00806;
half-removed;uint64;2097152;1048576;35955104;75661360;34.2895;72.1563;0.47521;34.289;72.156;0.00000;0.00781;
half-removed;string;16384;8192;540752;873776;66.0098;106.6621;0.61887;66.010;106.662;0.00037;0.00806;
half-removed;string;2097152;1048576;67911760;111837232;64.7657;106.6563;0.60724;64.766;106.656;0.00000;0.00781;
half-removed;struct3x64;16384;8192;786528;1312048;96.0117;160.1621;0.59947;96.012;160.162;0.00049;0.00806;
half-removed;struct3x64;2097152;1048576;99868880;167936048;95.2424;160.1563;0.59468;95.242;160.156;0.00000;0.00781;
window-steady;uint64;16384;16384;426176;591152;26.0117;36.0811;0.72092;43.505;36.081;0.00031;0.00403;
window-steady;uint64;2097152;2097152;53936656;75661360;25.7190;36.0781;0.71287;42.863;36.078;0.00000;0.00391;
window-steady;string;16384;16384;802896;873776;49.0049;53.3311;0.91888;82.005;53.331;0.00031;0.00403;
window-steady;string;2097152;2097152;101875792;111837232;48.5782;53.3281;0.91093;80.961;53.328;0.00000;0.00391;
window-steady;struct3x64;16384;16384;1179744;1312048;72.0059;80.0811;0.89916;120.006;80.081;0.00037;0.00403;
window-steady;struct3x64;2097152;2097152;149807424;167936048;71.4337;80.0781;0.89205;119.055;80.078;0.00000;0.00391;
